Recording Date,Production Order,Production Line,Material Type,Manufacturing Process,Width Change,Grammage,Length,Width,Reference,Reference Type,Team,Week Day,Shift,Speed,Ventilation 1,Ventilation 2,Ventilation 3,Ventilation 4,Ventilation 5,Ventilation 6,Temperature 1,Temperature 2,Temperature 3,Temperature 4,Temperature 5,Temperature 6,Tension,RC,VC,RC Out?,VC Out?
20180122202600,5160098282,323,PBA02,BPDUP,N,81.0,5520,1850,L167,L,A,SEG,2,18.55,896.7,832.9,851.35,795.14,801.0,0.33,117.63,123.95,128.38,109.97,101.58,0.0,17.62,58.0,,"[58,59[",
20180122214200,5160098288,323,PBA02,BPDUP,N,71.0,5520,1850,M999,M,A,SEG,2,17.91,895.18,832.9,852.21,790.8,801.22,0.33,109.28,123.9,126.61,110.39,104.01,0.0,18.55,58.5,,"[58,59[",
20180122220300,5160098329,323,PBA02,BPDUP,N,71.0,5120,1850,M999,M,B,SEG,3,17.91,895.83,832.25,851.35,792.75,799.7,0.33,109.37,123.56,126.1,110.55,102.96,0.0,18.49,58.6,,"[58,59[",
20180122223200,5160098286,323,PBA02,BPDUP,N,81.0,5520,1850,L3031,L,A,SEG,3,15.5,773.22,831.81,849.83,792.32,800.35,0.33,109.49,116.38,123.02,109.97,103.8,0.0,21.18,57.1,6.3,"[57,58[","[6.0,6.5["
20180123052100,5160098349,323,PBA02,BPDUP,N,71.0,5120,1850,M381,M,A,TER,3,19.12,897.35,830.08,849.83,795.36,798.39,0.33,109.79,116.8,123.27,109.34,104.05,0.0,17.33,58.6,6.4,"[58,59[","[6.0,6.5["
20180123062223,5160098349,323,PBA02,BPDUP,N,71.0,5120,1850,M381,M,B,TER,1,19.09,896.27,830.95,850.26,794.7,799.91,0.33,109.62,118.76,123.19,109.63,103.21,0.0,20.52,58.7,,"[58,59[",
20180123060300,5160098349,323,PBA02,BPDUP,N,71.0,5120,1850,M381,M,B,TER,1,19.1,896.92,831.6,849.83,793.19,800.35,0.33,109.45,118.71,123.19,109.34,103.46,0.0,20.4,58.5,,"[58,59[",
20180123081747,5160098350,323,PBA02,BPDUP,N,71.0,5520,1850,M742,M,B,TER,1,19.1,898.0,832.47,850.69,794.49,799.91,0.33,114.75,120.84,128.64,111.02,103.97,0.0,20.54,58.8,,"[58,59[",
20180123082454,5160098361,323,PBA02,BPDUP,N,81.0,5520,1850,L117,L,B,TER,1,17.12,896.92,831.16,850.91,795.57,800.13,0.33,114.58,120.54,128.55,111.06,103.93,0.0,23.35,57.9,,"[57,58[",
20180123091453,5160098357,323,PBA02,BPDUP,N,91.0,5120,1850,L166,L,B,TER,1,19.35,897.35,832.9,852.65,795.57,799.91,0.33,115.34,121.1,128.55,110.3,103.51,0.0,22.16,56.6,,"[56,57[",
20180123102418,5160098359,323,PBA02,BPDUP,N,81.0,5120,1850,F755,F,B,TER,1,21.3,834.64,833.77,852.43,794.92,800.35,0.33,114.67,121.01,128.64,109.55,95.87,0.0,22.16,57.4,,"[57,58[",
20180123102352,5160098331,323,PBA02,BPDUP,N,81.0,2460,1850,F755,F,B,TER,1,21.3,834.85,831.81,850.26,794.49,798.18,0.33,114.75,120.93,128.55,109.51,95.83,0.0,21.3,57.4,,"[57,58[",
20180123120000,5160098356,323,PBA02,BPDUP,N,91.0,5520,1850,L164,L,B,TER,1,19.87,834.64,833.55,849.83,794.49,799.7,0.33,114.67,120.76,128.64,110.68,94.95,0.0,22.89,56.1,,"[56,57[",
20180123121423,5160098280,323,PBA02,BPDUP,N,66.0,5520,1850,M1076,M,B,TER,1,23.1,833.98,832.9,850.69,795.14,799.05,0.33,114.88,120.84,128.21,110.51,94.15,0.0,21.67,58.6,,"[58,59[",
20180123140400,5160098283,323,PBA02,BPDUP,S,81.0,5720,1240,L4054,L,C,TER,2,17.13,833.55,832.9,851.35,796.01,799.26,0.33,114.71,120.5,126.14,110.09,94.19,0.0,14.18,57.8,,"[57,58[",
20180123140400,5160098384,323,PBA02,BPDUP,N,66.0,4930,1240,M6207,M,A,TER,2,17.13,833.55,832.9,851.35,796.01,799.26,0.33,114.71,120.5,126.14,110.09,94.19,0.0,14.18,58.9,6.2,"[58,59[","[6.0,6.5["
20180123140400,5160098384,323,PBA02,BPDUP,N,66.0,4930,1240,M6207,M,A,TER,2,17.13,833.55,832.9,851.35,796.01,799.26,0.33,114.71,120.5,126.14,110.09,94.19,0.0,14.18,58.9,6.2,"[58,59[","[6.0,6.5["
20180123212600,5160098371,323,PBA02,BPDUP,N,81.0,4930,1240,L3031,L,A,TER,2,15.97,788.85,832.03,848.96,795.57,799.7,0.33,107.37,120.84,126.4,109.55,96.46,0.0,18.43,57.7,6.3,"[57,58[","[6.0,6.5["
20180123212600,5160098371,323,PBA02,BPDUP,N,81.0,4930,1240,L3031,L,B,TER,3,15.97,788.85,832.03,848.96,795.57,799.7,0.33,107.37,120.84,126.4,109.55,96.46,0.0,18.43,57.7,6.3,"[57,58[","[6.0,6.5["
20180123220500,5160098371,323,PBA02,BPDUP,N,81.0,4930,1240,L3031,L,B,TER,3,15.97,786.68,830.51,849.83,795.79,799.48,0.33,107.67,120.71,126.23,109.63,96.75,0.0,17.22,57.6,6.0,"[57,58[","[6.0,6.5["
20180123220500,5160098371,323,PBA02,BPDUP,N,81.0,4930,1240,L3031,L,B,TER,3,15.97,786.68,830.51,849.83,795.79,799.48,0.33,107.67,120.71,126.23,109.63,96.75,0.0,17.22,57.7,6.3,"[57,58[","[6.0,6.5["
